Component CODE,UNIT CODE (WC),WATER COLUMN LAYER,UNIT CODE (Sal),SALINITY REGIME,UNIT CODE (Temp),TEMPERATURE REGIME,UNIT CODE (Hydro),HYDROFORM CLASS,HYDROFORM,HYDROFORM TYPE,UNIT CODE (BioChem),BIOGEOCHEMICAL FEATURE,DEFINITION
W,l1,Estuarine Coastal Surface Layer,,,,,,,,,,,Estuarine waters between the shore and the 4 meter depth contour at the surface of the water column to a depth of a few centimeters.
W,l2,Estuerine Coastal Upper Water Column,,,,,,,,,,,
W,l3,Estuarine Coastal Pycnocline,,,,,,,,,,,"Estuarine waters within the pycnocline, between the shore and the 4 meter depth contour."
W,l4,Estuarine Coastal Lower Water Column,,,,,,,,,,,Estuarine waters below the pycnocline (or mid-depth) and between the shore and the 4 meter depth contour.
W,l5,Estuarine Open Water Surface Layer,,,,,,,,,,,"Estuarine waters at the surface, at or beyond the 4 meter depth contour."
W,l6,Estuarine Open Water Upper Water Column,,,,,,,,,,,"Estuarine waters above the pycnocline (or mid-depth), at or beyond the 4 meter depth contour."
W,l7,Estuarine Open Water Pycnocline,,,,,,,,,,,"Estuarine waters within the pycnocline, at or beyond the 4 meter depth contour."
W,l8,Estuarine Open Water Lower Water Column,,,,,,,,,,,"Estuarine waters below the pycnocline (or mid-depth), at or beyond the 4 meter depth contour."
W,l9,Estuarine Tidal Riverine Coastal Surface Layer,,,,,,,,,,,"Tidal fresh waters at the surface, from the land-water interface up to the 4 meter depth contour."
W,l10,Estuarine Tidal Riverine Coastal Upper Water Column,,,,,,,,,,,"Tidal fresh waters above the pycnocline (or mid-depth), from the land-water interface up to the 4 meter depth contour."
W,l11,Estuarine Tidal Riverine Coastal Pycnocline,,,,,,,,,,,"Tidal fresh waters within the pycnocline, from the land-water interface up to the 4 meter depth contour."
W,l12,Estuarine Tidal Riverine Coastal Lower Water Column,,,,,,,,,,,"Tidal fresh waters below the pycnocline (or mid-depth), from the land-water interface up to the 4 meter depth contour."
W,l13,Estuarine Tidal Riverine Open Water Surface Layer,,,,,,,,,,,"Tidal fresh waters at the surface, at or beyond the 4 meter depth contour."
W,l14,Estuarine Tidal Riverine Open Water Upper Water Column,,,,,,,,,,,"Tidal fresh waters above the pycnocline (or mid-depth), at or beyond the 4 meter depth contour."
W,l15,Estuarine Tidal Riverine Open Water Pycnocline,,,,,,,,,,,"Tidal fresh waters within the pycnocline, at or beyond the 4 meter depth contour."
W,l16,Estuarine Tidal Riverine Open Water Lower Water Column,,,,,,,,,,,"Tidal fresh waters below the pycnocline (or mid-depth), at or beyond the 4 meter depth contour."
W,l17,Marine Nearshore Surface Layer,,,,,,,,,,,"Marine waters at the surface, from the land-water interface up to the 30 meter depth contour."
W,l18,Marine Nearshore Upper Water Column,,,,,,,,,,,"Marine waters above the pycnocline (or mid-depth), from the land-water interface up to the 30 meter depth contour."
W,l19,Marine Nearshore Pycnocline,,,,,,,,,,,"Marine waters within the pycnocline, from the land-water interface up to the 30 meter depth contour."
W,l20,Marine Nearshore Lower Water Column,,,,,,,,,,,"Marine waters below the pycnocline (or mid-depth), from the land-water interface up to the 30 meter depth contour."
W,l21,Marine Oceanic Surface Layer,,,,,,,,,,,"The interface between the atmosphere and the water column, extending to a depth of several centimeters. Surface films, floating vegetation, and aggregations of materials or biota accumulate at the surface, which also represents the surface of maximum exchange of atmospheric gases, heat, and light."
W,l22,Marine Oceanic Epipelagic Upper Layer,,,,,,,,,,,"The Epipelagic Layer is the upper 200 meters of the oceanic water column. Within the Epipelagic, the Marine Oceanic Epipelagic Upper Layer is the region between the sea surface and the Epipelagic Pycnocline, if present, or mid-depth in the Epipelagic zone at 100 meters. This layer is generally well-mixed, well-lighted, and highly oxygenated, and supports photosynthesis largely throughout, although weakly in the lower depths. It has no contact with, and very minimal influence from land, and is very clear compared to coastal water masses. It is the zone of maximal productivity in the Oceanic Subsystem."
W,l23,Marine Oceanic Epipelagic Pycnocline,,,,,,,,,,,"Within the Epipelagic Layer, the Marine Oceanic Epipelagic Pycnocline is the zone of maximum vertical change in density of the water normally due to a salinity or temperature gradient, which segregates the water column into two distinct layers that are of relatively homogeneous density. The presence of a pycnocline provides a barrier to mixing between the upper and lower water columns, and this layer enhances the stability of the water column preventing mixing to the bottom."
W,l24,Marine Oceanic Epipelagic Lower Layer,,,,,,,,,,,"Within the Epipelagic Layer, the region below the Epipelagic pycnocline if present (or below mid-depth [100 meters]). Photosynthesis can generally occur through this layer although diminishing with depth to the critical depth for phytoplankton, which represents the point where production and respiration are in balance and no net productivity occurs. The lower bound of the Epipelagic Lower Layer is the bottom of the Epipelagic Layer at 200 meters."
W,l25,Marine Oceanic Mesopelagic Layer,,,,,,,,,,,"The region where light is vertically attenuated to below the level required for photosynthesis, generally between 200 meters and 1,000 meters in depth. Oxygen declines rapidly to a minimum, corresponding with the lower limit of the Mesopelagic Zone—due to high bacterial respiration from settling organic material."
W,l26,Marine Oceanic Bathypelagic Layer,,,,,,,,,,,"The region where light does not penetrate, rendering the water column totally dark except for bioluminescence, generally from 1,000 meters to 4,000 meters depth. Organisms at these depths are subjected to immense pressure; food webs depend on organic detritus rather than active photosynthetic production. Waters in this layer generally are composed of cold, bottom currents (from sinking water masses descending from polar latitudes)."
W,l27,Marine Oceanic Abyssopelagic Layer,,,,,,,,,,,"The region of the water column that is generally in contact with the abyssal seafloor, except in deep basins and trenches and represents the bottom layer of the ocean, generally from 4,000 meters to 6,000 meters depth. This layer is aphotic; it receives biogenic, detrital and mineral material descending from above and this layer acts as an accumulation zone. Oozes from tests of planktonic organisms form on the seafloor and fans of sedimentary material accumulate here. There are diverse and specialized faunal communities at these depths. Trophic webs are based on chemoautotrophic processes, hydrothermal vents, decomposition of organic matter and bacterial production."
W,l28,Marine Oceanic Hadalpelagic Layer,,,,,,,,,,,"The deepest waters of the globe occur in trenches and deep basins generally at depths greater than 6,000 meters. There is a high degree of tectonic and thermal activity in these areas. Waters in this layer have unique characteristics of immense pressure, strong currents, accumulation of sediments and organic material; macrofauna that occur at these extreme depths have special feeding strategies and adaptations to intense pressure and total darkness."
W,,,s1,Oligohaline Water,,,,,,,,,Salinity (PSS) < 5
W,,,s2,Mesohaline Water,,,,,,,,,Salinity (PSS) 5 to < 18
W,,,s3,Lower Polyhaline Water,,,,,,,,,Salinity (PSS) 18 to < 25
W,,,s4,Upper Polyhaline  Water,,,,,,,,,Salinity (PSS) 25 to < 30
W,,,s5,Euhaline Water,,,,,,,,,Salinity (PSS) 30 to < 40
W,,,s6,Hyperhaline Water,,,,,,,,,Salinity (PSS) ≥ 40
W,,,,,t1,Frozen/Superchilled Water,,,,,,,0°C and below
W,,,,,t2,Very Cold Water,,,,,,,0°C to < 5°C (liquid)
W,,,,,t3,Cold Water,,,,,,,5°C to < 10°C
W,,,,,t4,Cool Water,,,,,,,10°C to < 15°C
W,,,,,t5,Moderate Water,,,,,,,15°C to < 20°C
W,,,,,t6,Warm Water,,,,,,,20°C to < 25°C
W,,,,,t7,Very Warm Water,,,,,,,25°C to < 30°C
W,,,,,t8,Hot Water,,,,,,,30°C to < 35°C
W,,,,,t9,Very Hot Water,,,,,,,≥ 35°C
W,,,,,,,h1,Current,,,,,"Water that is undergoing coherent mass movement, either as laminar or turbulent flow, relative to surrounding waters and fixed structural, landform or geologic features. A directional, coherently flowing water mass. Currents operate on a wide range of temporal and spatial scales from huge ocean gyres and major surface and deepwater currents of the ocean operating on annual timescales to tidal currents that operate on sub daily timescales. However, all currents have features in common: the advective movement and transport of water, constituents (such as particulates and dissolved compounds), qualities (such as temperature and salinity) and biota (such as plankton, nekton, and megafauna). Currents are driven by gravity flow, geostrophic flow, density differences, hydraulic differential or energy input. They may be isolated from land and freely flowing in the water column as is the Gulf Stream, or they may be in channelized flow or long-shore flow. Currents that impact land also shape the littoral zone or sea bottom by winnowing sediments, physically mixing or shearing substrates and biota and creating geoforms such as sand ripples and bars."
W,,,,,,,h1.1,Current,Boundary Current,,,,The portion of an ocean gyre that moves along the continental boundary.
W,,,,,,,h1.1.1,Current,Boundary Current,Eastern Boundary Current,,,"The eastern portion of the great ocean gyres circulating in the ocean basins against west continental coasts. They may be broad or narrow and meandering; they transport colder water into the tropics. EBCs are typically shallow and slow-flowing compared to the Western boundary currents. EBCs may be associated with upwellings and nutrient rich seas that can support very productive fisheries, such as in the Peruvian Upwelling."
W,,,,,,,h1.1.2,Current,Boundary Current,Western Boundary Current,,,"The western portion of the great ocean gyre circulation, which moves along the eastern coasts of the continents. These currents are deeper (up to 1,000 meters) and faster moving than eastern counterparts. The western intensification, due to Coriolis forces being stronger in the latitudes of the Westerlies that steer Western boundary currents, is responsible for the great speed and intensity of these currents. WBCs transport warmer tropical waters into the cold higher latitudes and have a great effect on both oceanic and terrestrial climate, water temperatures and distribution of biota."
W,,,,,,,h1.2,Current,Buoyancy Flow,,,,"Current flow created by discontinuity in buoyancy of two juxtaposed water masses of different density, causing one to flow relative to the other toward buoyancy equilibrium."
W,,,,,,,h1.2.1,Current,Buoyancy Flow,Downwelling,,,Downwardly-directed current caused by convergence of water masses.
W,,,,,,,h1.2.2,Current,Buoyancy Flow,Upwelling,,,Upwardly-directed current caused by divergence of water masses
W,,,,,,,h1.3,Current,Current Meander,,,,"A current that deviates from a straight line flow, which is often the result of incursion by lateral currents or the presence of a physical or density barrier. Meanders can pinch off from the main current flow and form rings."
W,,,,,,,h1.4,Current,Deep Boundary Current,,,,"A current that connects high-latitude ocean waters (where deep water is formed) with upwelling regions. The core depths of these currents are between 1,500 meters and 4,000 meters. Western-located Deep Boundary Currents lie adjacent to continental slopes in all ocean basins."
W,,,,,,,h1.5,Current,Deep Circulation,,,,"The mass circulation of the oceans that carries cold polar surface water to depth, sinking due to higher density and wind forcing. The mass transport also carries salt, oxygen, and other properties. Deep circulation is wind driven, with a tidal mixing component. It cools the surface and evaporates water, which determines where deep convection occurs. Wind-driven turbulence in the deep ocean mixes cold water upward at lower latitudes. Deep circulation has relative slow current movements but transport of water is comparable to surface transport and is responsible for closing the Earth's heat budget and determining climate."
W,,,,,,,h1.5.1,Current,Deep Circulation,Abyssal Deep Circulation,,,"Deep, slow circulation in the abyssal zone driven by horizontal differences in density of water masses. The vast majority of ocean circulation is of this type, initiating by the sinking of cold water in the high latitudes to the ocean bottom, and spreading throughout the abyssal plains of the ocean basins."
W,,,,,,,h1.5.3,Current,Deep Circulation,Bathyl Deep Circulation,,,"Deep, slow circulation in the bathyl zone driven by horizontal differences in density of water masses. Water sinks down the continental slope and through the bathyl zone as part of thermohaline ocean circulation."
W,,,,,,,h1.6,Current,Deep Convection,,,,Large mass flows of water in the deep ocean that form critical parts (and return paths) of the great ocean circulation.
W,,,,,,,h1.7,Current,Density Flow,,,,Flow caused by differential density between two convergent water masses—or by a parcel of denser water flowing along a sloping bottom under a column of less-dense water.
W,,,,,,,h1.8,Current,Ekman Flow,,,,"The flow of water at 90˚ to the direction of the wind, at steady state, due to Earth's rotational effect."
W,,,,,,,h1.8.1,Current,Ekman Flow,Ekman Upwelling,,,"Upwardly-directed current resulting from either the divergence of water masses or from movement of surface water away from the coast. At the divergence of two water masses (or the wind-driven movement of water away from a coastline), continuity of mass flow will move water from depth to the surface as replacement. In the nearshore, the circulation will bring the water from the shallow bottom. In deeper waters, the upwelling will carry water from a variety of depths—from near the surface to depths to as great as 500 meters (below the pycnocline). Because the upwelled water is working against gravity, its maximum influence is not as great as downwelled water (which is aided by gravity); however, the upwelling can reach into the mesopelagic zone."
W,,,,,,,h1.8.2,Current,Ekman Flow,Ekman Downwelling,,,"Downwardly-directed current, resulting from either the convergence of water masses or from the convergence of a water mass with a coastline. At this convergence, gravity will force water into a downwelling, which will carry surface water to greater depths. In the nearshore, the circulation will take the water to the shallow bottom and then move seaward. In deeper waters, the downwelling will carry water to a depth determined by energy dissipation and relative density considerations; the maximum downwelling depth can be into the abyssalpelagic zone."
W,,,,,,,h1.9,Current,Inertial Current,,,,"Currents that continue motion through inertia. Due to the rotation of the Earth, inertial currents tend to form circular gyres."
W,,,,,,,h1.10,Current,Langmuir Circulation,,,,"Rotational oscillatory motion of surface waters induced by wind and Coriolis deflection. This circulation is caused by the transport of a parcel of water obliquely to the direction of wind transport due to the apparent Coriolis force imparted by the rotation of the earth. In the Northern Hemisphere this vector is to the right of the wind direction, in the Southern Hemisphere, it is to the left. This causes a piling of water in cells lateral to the direction of travel. The piled water sinks to balance forces, and it also circulates to create elongated tubular circulations of water at the surface. Langmuir cells are important to productivity by circulating water through the water column, and form fronts at the junction of two Langmuir cells that are important points of aggregation and feeding of plankton and higher trophic levels (Wetzel 2001)."
W,,,,,,,h1.11,Current,Mean Surface Current,,,,The time-averaged steady state ocean surface current pattern responsible for mean oceanic water motions.
W,,,,,,,h1.11.1,Current,Mean Surface Current,North Equatorial Surface Current,,,"The southern portion of the northern ocean gyres. This current flows westward, is maintained by the trade winds, and entrains some water from southern oceans into the northern oceans. It is accompanied by a weaker easterly-flowing counter current."
W,,,,,,,h1.11.2,Current,Mean Surface Current,South Equatorial Surface Current,,,"The counterpart to the North Equatorial current, also flows east to west, forming the northern limb of the southern ocean gyres."
W,,,,,,,h1.12,Current,Mesoscale Eddy,,,,"A rotational feature that (a) breaks off of an ocean gyre or large current (such as the Gulf Stream) and (b) persist autonomously for some period (from days to months) at sizes of 20 kilometers to 500 kilometers. These eddies play an important role in ocean mixing—and in sheltering and acting as nursery waters for biota. The most energetic eddies are at the smaller end of the spatial scale. The larger eddies (called mesoscale eddies) are slower moving, but they persist for many months and are ubiquitous in the global oceans. Mesoscale Eddies are most prevalent in the North Atlantic and North Pacific, but they can occur in all oceans."
W,,,,,,,h1.12.1,Current,Mesoscale Eddy,Cold Core Ring,,,"An eddy that forms when a boundary current meander pinches off and closes, trapping a parcel of colder water in a surrounding ring of warmer water. The ring measures up to 300 kilometers and extends to 4,000 meters depth or the ocean bottom. The colder water in the core tends to be higher in nutrients and more productive than that in the surrounding ring, so they become islands of biological activity as they move through the ocean. Rings form in all oceans and can persist for months to years."
W,,,,,,,h1.12.2,Current,Mesoscale Eddy,Warm Core Ring,,,"An eddy that form when a boundary current pinches off a parcel of warmer water. The ring measures 100-200 kilometers and extends to 1,500 meters depth. The warm water in the core tends to be less productive than the colder, nutrient rich waters in the ring."
W,,,,,,,h1.13,Current,Residual Current,,,,Current movement resulting from asymmetry in tidal flow—notably within a partially enclosed estuary or embayment—that results in characteristic estuarine circulation patterns.
